category,name,size,price,description,prompt_for,upsell
Pizza,Cheese,"Small (10"")",12.95,,,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Cheese,"Medium (14"")",14.95,,,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Cheese,"Large (16"")",16.50,,,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,German,"Small (10"")",12.95,"Chopped steak, onions, black olives, banana peppers",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,German,"Medium (14"")",15.50,"Chopped steak, onions, black olives, banana peppers",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,German,"Large (16"")",19.99,"Chopped steak, onions, black olives, banana peppers",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Veggie,"Small (10"")",12.95,"Onions, green peppers, black olives, mushrooms, tomatoes",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Veggie,"Medium (14"")",19.99,"Onions, green peppers, black olives, mushrooms, tomatoes",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Veggie,"Large (16"")",21.99,"Onions, green peppers, black olives, mushrooms, tomatoes",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Jack's Special,"Small (10"")",12.95,"Onions, pepperoni, green peppers, extra cheese, sausage, bacon, mushrooms",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Jack's Special,"Medium (14"")",21.99,"Onions, pepperoni, green peppers, extra cheese, sausage, bacon, mushrooms",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
